TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN
TID_FAQ_TITLE_CLANSCORE,Why is my clan's score smaller than all members' combined scores?,Pourquoi le score de mon clan est-il inférieur à la somme des scores des membres ?,Wieso ist die Punktzahl meines Clans kleiner als die Punktzahl aller Mitglieder zusammen?,¿Por qué la puntuación de mi clan es menor que las puntuaciones combinadas de todos los miembros?,Perché il punteggio del mio clan è inferiore alla combinazione dei punteggi di tutti i membri?,Waarom is de score van mijn clan lager dan de gecombineerde score van alle leden?,Hvorfor er klanens poengsum lavere enn alle medlemmenes poengsummer sammenlagt?,Por que a pontuação do meu clã é menor que a soma dos troféus de todos os membros?,Klan puanım neden tüm üyelerin puanının toplamından daha düşük?,クランのスコアが全メンバーの合計スコアより低いのは何故ですか？,为什么我的部落总分比所有部落成员的奖杯数之和少呢？
TID_FAQ_TEXT_CLANSCORE,Clan Score is calculated using a formula that uses weighted scores from all clan members. It is not the sum of all members' scores. The Clan Score is designed to allow a more competitive and fair clan ranking.,Le calcul du score de clan utilise les scores pondérés de l´ensemble des membres du clan. Le score de clan n´est donc pas la simple somme des scores de ses membres ; il permet ainsi un classement des clans plus compétitif et plus juste.,Die Clan-Punkte ergeben sich mittels einer Formel aus gewichteten Punkten aller Clanmitglieder. Es ist nicht die Summe der Punkte aller Mitglieder. Die Clan-Punkte sollen für mehr Wettbewerb und Fairness in der Clanrangliste sorgen.,La puntuación del clan se calcula con una fórmula que usa puntuaciones ponderadas de todos los miembros del clan. No se trata de la suma de las puntuaciones de todos los miembros. La puntuación del clan está pensada para permitir una clasificación de clanes más competitiva y justa.,"Il punteggio di un clan è calcolato attraverso una formula che usa i punteggi ponderati, e non la somma, di tutti i membri del clan. Il punteggio del clan è pensato per generare una classifica più competitiva ed equa.","De clanscore is gebaseerd op de gemiddelde score van alle clanleden, maar is niet de som van alle scores. De clanscore is ontwikkeld voor een competitief en eerlijk rangsysteem.",Klanens poengsum beregnes med en formel som tar hensyn til vektede poengsummer fra alle klanmedlemmene. Den er ikke summen av alle medlemmenes poengsummer. Klanens poengsum er laget for å rangere klanenes konkurransedyktighet så rettferdig som mulig.,A pontuação do clã é calculada usando uma fórmula que usa pontuações ponderadas de todos os membros do clã. Não é a soma das pontuações de todos os membros. A pontuação do clã é projetada para possibilitar uma classificação de clã mais competitiva e justa.,"Klan Puanı, tüm klan üyelerinin ağırlıklı puanlarını kullanan bir formülün kullanımıyla hesaplanır. Bu puan, tüm üyelerin puanlarının toplamı değildir. Klan Puanı, daha rekabetçi ve adil bir klan sıralaması oluşturmaya izin verecek şekilde tasarlanmıştır.",クランのスコアはメンバーそれぞれのスコアを特定の比率を加味して算出したもので、全メンバー分のスコアの合計ではありません。クランのスコアはランキング競争がより公平で白熱したものになるように工夫されています。,部落总分是根据一个复杂的公式计算出来的，它综合考量了所有部落成员的奖杯数，而不是简单相加。这个算法可以让部落排名更加公平合理。
TID_FAQ_TITLE_REPLAY,Is there a way to see a replay of an attack on my village?,Existe-t-il un moyen de revoir une attaque ayant touché mon village ?,Kann ich mir eine Wiederholung von Angriffen auf mein Dorf ansehen?,¿Hay alguna forma de ver la repetición de un ataque a mi aldea?,È possibile vedere un replay di un attacco al mio villaggio?,Is er een manier om de aanval op mijn dorp opnieuw af te spelen?,Er det mulig å se angrepet på landsbyen min i reprise?,Existe uma maneira de ver a repetição de um ataque à minha vila?,Köyüme yapılan bir saldırının tekrarını izlemenin bir yolu var mı?,村に対する攻撃のリプレイを見るにはどうすればよいですか？,如何回放我的村庄遭受袭击的录像呢？
TID_FAQ_TEXT_REPLAY,You can watch Replays from the Battle Log menu (the letter icon above attack button). It's a good idea to watch these as soon as possible as the system only stores a few of them and will remove the older ones if needed.,"Vous pouvez visionner les ralentis depuis le menu Résumé des batailles (l'icône en forme de lettre, au-dessus du bouton d'attaque). Il est préférable de les visionner dès que possible car le système ne peut stocker qu'une petite partie d'entre eux et supprimera donc les ralentis les plus anciens si besoin est.","Im Kampfhistorien-Menü kannst du Kampfwiederholungen ansehen (das Buchstabensymbol über der Angriffstaste). Du solltest dir die Wiederholungen so schnell wie möglich ansehen, weil das System nur wenige davon speichert und die älteren bei Bedarf löscht.","Puedes ver repeticiones desde el menú Combates (el icono en forma de carta que hay sobre el botón de ataque). Lo mejor es verlas lo antes posible, ya que el sistema solo almacena unas pocas y eliminará las más antiguas, si es necesario.","Puoi guardare i replay nel menu Resoconto delle battaglie (l´icona a forma di lettera sopra il pulsante di attacco). Se vuoi guardare i replay, fallo il prima possibile, perché il sistema ne conserva solo alcuni e, in caso di necessità, i più vecchi saranno eliminati.",Je kunt herhalingen via het logboek (het lettericoontje boven de aanvalsknop) bekijken. Het is aangeraden om deze zo snel mogelijk te bekijken daar het systeem er maar een paar opslaat en de oudere verwijdert als dat nodig is.,"Du kan se på repriser fra Slaghistorikk-menyen (brevsymbolet over angrepsknappen). Det er lurt å se på disse så raskt som mulig, for bare noen få blir lagret, og de gamle blir slettet hvis det er nødvendig.","Você sempre pode assistir às Repetições no Registro de Batalhas (o ícone de envelope acima do botão de atacar). É uma boa ideia assistí-las assim que possível pois o sistema só guarda algumas e remove as mais antigas, se necessário.","Tekrarları Savaş Günlüğü menüsünden (saldır düğmesinin üzerindeki mektup simgesi) izleyebilirsiniz. Sistem bunlardan sadece birkaç tanesini hafızada tuttuğundan ve ihtiyaç olması halinde eskileri sildiğinden dolayı, bunları mümkün olduğunca erken izlemeniz iyi olur.",戦闘のリプレイは戦闘ログ画面（攻撃ボタンの上にある、封筒型のアイコン）から再生できます。サーバーには数回分のリプレイしか保存されず、古いものは削除されてしまうため、できるだけ早めに見ておくといいでしょう。,可从战斗日志收看战斗录像回放。请尽早观看这些录像，因为系统只能储存少量的录像，一段时间后会删除旧的录像。
TID_FAQ_TITLE_MULTIACCOUNT,Can I play multiple accounts on a single device?,Est-il possible de jouer avec différents comptes sur un seul appareil ?,Kann ich auf einem Einzelgerät mit mehreren Konten spielen?,¿Puedo jugar con varias cuentas en un mismo dispositivo?,Posso giocare con più account su un unico dispositivo?,Kan ik met meerdere accounts op één apparaat spelen?,Kan jeg spille med flere kontoer på samme enhet?,Posso jogar com várias contas em um único dispositivo?,Tek bir cihazda birden fazla hesapla oynayabilir miyim?,1つのデバイスで複数のセーブデータを使い分けてプレイできますか？,我能在一个苹果设备上保存多个游戏账户吗？
TID_FAQ_TEXT_MULTIACCOUNT,Clash of Clans supports only one account per device.,Clash of Clans ne prend en charge qu'un seul compte par appareil.,Clash of Clans unterstützt nur ein Konto pro Gerät.,Clash of Clans solo admite una cuenta por dispositivo.,Clash of Clans supporta solo un account per dispositivo.,Clash of Clans ondersteunt maar één account per apparaat.,Clash of Clans støtter kun én konto per enhet.,Clash of Clans suporta apenas uma conta por dispositivo.,"Clash of Clans, cihaz başına yalnızca bir hesabı desteklemektedir.",クラッシュ・オブ・クランはデバイスごとに1つのセーブデータにしか対応していません。,同一个苹果设备上，只能保存一个部落战争（Clash of Clans）的账户信息。一旦开始游戏，我们将无法为您删除已存储在苹果设备上的游戏数据。
TID_FAQ_TITLE_MULTIDEVICE,Can I connect multiple devices to the same account?,Est-il possible de lier différents appareils à un seul et même compte ?,Kann ich mehrere Geräte mit dem gleichen Konto verbinden?,¿Puedo vincular varios dispositivos a la misma cuenta?,Posso connettere più dispositivi allo stesso account?,Kan ik meerdere apparaten aan één account koppelen?,Kan jeg koble til flere enheter på samme konto?,Posso conectar vários dispositivos à mesma conta?,Aynı hesaba birden fazla cihazla bağlanabilir miyim?,同一のセーブデータに複数のデバイスを関連づけられますか？,我能用多个苹果设备登录同一个游戏账户吗？
TID_FAQ_TEXT_MULTIDEVICE,"You can play one game on multiple devices, but be sure to login to Game Center with the same account on each device. Logging into Game Center links your village to that Game Center account, and allows you to load your game on any device.","Vous pouvez jouer une même partie sur plusieurs appareils, mais vous devez vous assurer de bien vous connecter au Game Center avec le même compte à chaque fois. La connexion au Game Center lie votre village au compte Game Center en question, et vous permet de charger votre partie sur n´importe quel appareil.","Ein Spiel kann auf mehreren Geräten gespielt werden, aber dazu muss man sich auf jedem Gerät mit dem gleichen Konto bei Game Center anmelden. Durch Anmeldung bei einem Konto bei Game Center wird dein Dorf an dieses Konto gebunden, wodurch du das Spiel auf jedem Gerät spielen kannst.","Puedes jugar a una partida en varios dispositivos, pero asegúrate de iniciar sesión en el Game Center con la misma cuenta en cada dispositivo. Iniciar sesión en el Game Center vincula tu aldea a esa cuenta del Game Center y te permite cargar tu partida en cualquier dispositivo.","Puoi giocare un gioco su più dispositivi, ma assicurati di accedere a Game Center con lo stesso account su ognuno di essi. L'accesso al Game Center collega il tuo villaggio a quell'account su Game Center e ti permette di caricare il tuo gioco su ogni dispositivo.","Je kunt het spel op meerdere apparaten spelen, maar zorg wel dat je op elk apparaat met hetzelfde account bent aangemeld op Game Center. Door je op Game Center aan te melden, wordt je dorp gekoppeld aan dat Game Center-account en kun je het spel op elk apparaat laden.","Du kan spille ett spill på flere enheter, bare du sørger for å logge på Game Center med den samme kontoen fra hver enhet. Når du logger på Game Center, kobles landsbyen din til Game Center-kontoen, slik at du kan laste spillet på alle enheter.","Você pode jogar um jogo em vários dispositivos, mas não se esqueça de entrar no Game Center com a mesma conta em cada dispositivo. Ao conectar-se ao Game Center você será dirigido à vila registrada na sua conta do Game Center, permitindo que você carregue o seu jogo em qualquer dispositivo.","Bir oyunu birden fazla cihazda oynayabilirsin ama her cihazda Game Center'a aynı hesapla giriş yaptığından emin ol. Game Center'a giriş yapmak, köyünü o Game Center hesabına bağlar ve oyununu istediğin cihazda yükleyebilmeni mümkün kılar.",同じセーブデータを複数のデバイスで共有することは可能です。それぞれのデバイスで同じ Game Center アカウントにログインしてください。Game Center にログインすることでそのデバイスの村が Game Center アカウントに関連づけられ、どのデバイスでも同じセーブデータを読み込めるようになります。,您可以在多个设备上使用同一游戏账户参与游戏。请确保您已将游戏账号绑定到游戏中心，再用同一游戏中心帐号在另一台苹果设备上登录，进入游戏后系统提示：您想加载大本营为XX级的玩家XXXX的村庄吗？请选择\q确定\q。
TID_FAQ_TITLE_TEXTSIZE,Can I increase the text size?,Est-il possible d'augmenter la taille du texte ?,Kann ich die Textgröße erhöhen?,¿Puedo aumentar el tamaño del texto?,Posso ingrandire le dimensioni del testo?,Kan ik de tekst groter maken?,Kan jeg gjøre teksten større?,Posso aumentar o tamanho do texto?,Yazı boyutunu artırabilir miyim?,テキストの表示サイズは大きくできますか？,我能否调节字体大小？
TID_FAQ_TEXT_TEXTSIZE,"The text size cannot be increased, but for the best Clash of Clans gameplay experience, we recommend playing with a current or recent generation iOS device, starting with iPad 2, iPhone 4 or iPod 4th Gen.\n\nThe game also works on older devices, but the gaming experience might not be optimal.","La taille du texte ne peut être agrandie, mais pour vous assurer la meilleure expérience possible avec Clash of Clans, nous vous recommandons de jouer sur un appareil iOS récent, tel que l'iPad 2, l'iPhone 4 ou l'iPod 4ème génération.\n\nLe jeu marche également sur les appareils plus anciens, mais votre expérience de jeu ne sera peut-être pas optimale.","Der Text kann nicht vergrößert werden, aber um das beste Clash of Clans Spielerlebnis zu erreichen, empfehlen wir auf einer derzeitigen oder jüngeren Generation und iOS Gerät zu spielen, beginnend mit iPad 2, iPhone 4 oder iPod (4. Generation).\n\nDas Spiel funktioniert auch auf älteren Geräten, aber das Spielerlebnis ist dann nicht optimal.","El tamaño del texto no puede ser aumentado, pero para obtener la mejor experiencia en Clash of Clans, recomendamos jugar con un dispositivo actual o de última generación iOS, empezando con iPad2, iPhone 4 o iPod 4ª generación.\n\nEl juego también es compatible con dispositivos anteriores, pero la experiencia podría no ser tan óptima.","Il testo non può essere ingrandito ma, per un'esperienza di gioco ottimale di Clash of Clans, ti raccomandiamo di giocare con un dispositivo iOS di generazione attuale o recente, a cominciare da iPad 2, iPhone 4 o iPod di 4a generazione.\n\nIl gioco gira anche su dispositivi precedenti, tuttavia l'esperienza di gioco potrebbe risultare non ideale.","De tekst kan niet groter worden gemaakt, maar voor de beste gamebeleving van Clash of Clans raden we je aan om met de huidige of recente generatie van iOS-apparaten te spelen zoals iPad 2, iPhone 4 of iPod 4th Gen.\n\nHet spel werkt ook op oudere apparaten, maar de beleving zal dan niet optimaal zijn.","Tekststørrelsen kan ikke økes, men for å oppnå en best mulig spilleopplevelse med Clash of Clans bør du benytte en av de nyere iOS-enhetene, fra og med iPad 2, iPhone 4 eller 4. generasjon av iPod.\n\nSpillet fungerer også på eldre enheter, men spilleopplevelsen er kanskje ikke optimal.","O tamanho do texto não pode ser aumentado, mas para uma melhor experiência de jogabilidade em Clash of Clans, recomenda-se jogar com um dispositivo iOS de geração atual ou recente, começando com o iPad 2, iPhone 4 ou iPod 4.\n\nO jogo também funciona em dispositivos mais antigos, mas a experiência de jogo poderá não ser a ideal.","Metin boyutu büyütülemez, ancak Clash of Clans oyun deneyimini en iyi şekilde yaşamak için iPad 2, iPhone 4 veya iPod 4. Nesil gibi mevcut ya da bir sonraki nesil iOS cihazlarını kullanmanızı öneririz.\n\nOyun eski cihazlarda da çalışır, ancak oyun deneyimi o denli tatmin edici olmayabilir.",テキストの表示サイズは大きくできませんが、クラッシュ・オブ・クランを快適にプレイするには最新もしくは最近の iOS デバイス（iPad 2、iPad mini、iPhone 4 もしくは第4世代 iPod）でのプレイをおすすめします。\n\nこのゲームはこれらよりも古いデバイスでもプレイ可能ですが、プレイしにくくなってしまう可能性があります。,十分抱歉，目前我们还不支持字体调节。为了获得部落战争（Clash of Clans）的最佳体验，我们建议您使用最新一代的iOS设备。例如：iPad 2、iPad 2、iPhone 4、iPhone 5或iPod 4th Gen。\n\n此游戏在早前的苹果设备上也能运行，但是游戏体验不能达到最佳。
TID_FAQ_TITLE_CHANGENAME,Can I change my village's name?,Est-il possible de changer le nom de mon village ?,Kann ich den Dorf meines Namens ändern?,¿Puedo cambiar el nombre de mi aldea?,Posso cambiare il nome del mio villaggio?,Kan ik de naam van mijn dorp veranderen?,Kan jeg gi landsbyen min nytt navn?,Posso mudar o nome da minha vila?,Köyümün adını değiştirebilir miyim?,村の名前を変える方法はありますか？,我能否更改村庄名称？
TID_FAQ_TEXT_CHANGENAME,"Sorry, you can't change the name of your village. Your villagers wouldn't know where they live!","Désolé, vous ne pouvez pas changer le nom de votre village. Les villageois ne sauraient plus où ils habitent !","Du kannst den Namen deines Dorfs leider nicht ändern. Deine Dorfbewohner wüssten sonst nicht mehr, wo sie wohnen!","Lo sentimos, pero no puedes cambiarle el nombre a tu aldea. ¡Tus aldeanos no sabrían dónde viven!","Spiacenti, non puoi cambiare il nome del tuo villaggio. I suoi abitanti non saprebbero più dove vivono!","Sorry, je kunt de naam van je dorp niet veranderen. Je dorpelingen zouden niet meer weten waar ze wonen!","Beklager, du kan ikke bytte navn på landsbyen. Da ville ikke innbyggerne vite hvor de bor!","Desculpe, você não pode mudar o nome da sua vila. Seus moradores não saberiam onde vivem!","Üzgünüz, köylülerin nerede yaşadıklarını şaşırmamaları için köyünün adını değiştiremezsin!",残念ながら、村の名前は変えられません。村人たちが道に迷ってしまいます！,抱歉，您不能更改村庄名称。否则，您的村民将找不到他们的家了！
TID_FAQ_TITLE_DISCONNECTED,I was disconnected and lost trophies. Can you return them to me?,J'ai subi une déconnexion et perdu des trophées. Pouvez-vous me les rendre ?,Ich habe die Verbindung verloren und dabei sind Trophäen verschwunden. Könnt ihr sie mir zurückgeben?,Me he desconectado y he perdido trofeos. ¿Me los podéis devolver?,Sono stato disconnesso e ho perso dei trofei. Potete restituirmeli?,Mijn verbinding werd verbroken en ik ben alle trofeeën kwijt. Kan ik ze terug krijgen?,Jeg ble frakoblet og mistet troféer. Kan dere finne dem igjen for meg?,Eu estava desconectado e perdi troféus. Vocês podem devolvê-los para mim?,Bağlantım kesildi ve ödüllerimi kaybettim. Ödüllerimi bana geri verebilir misiniz?,接続が切断されて、とったはずのトロフィーが消えてしまったのですが、元に戻す方法はありますか？,游戏中我的网络连接中断了，因此丢失了奖杯。你们能否返还给我呢？
TID_FAQ_TEXT_DISCONNECTED,"If you lost trophies due to disconnection, you were either attacked or your own attack was cut short and you lost. Because of the scoring system used in Clash of Clans, we cannot return your trophies under any circumstances. This is because each trophy you lose is actually transferred to another player, and we cannot give you new trophies without unbalancing the ranking system.\n\nTo prevent loss of trophies due to network problems, we recommend that you attack other players only when you have a stable connection (preferably WiFi).","Si vous avez perdu des trophées suite à une déconnexion, une attaque subie ou que votre propre attaque a été repoussée et vaincue, nous ne pouvons en aucun cas vous rendre vos trophées en raison du système de score utilisé dans Clash of Clans. Chaque trophée perdu est transféré à un autre joueur, nous ne pouvons donc pas vous rendre des trophées sans déséquilibrer le classement.\n\nPour éviter de perdre des trophées en raison de problèmes réseau, nous vous recommandons de n'attaquer d'autres joueurs que lorsque vous avez une connexion stable (de préférence Wi-fi).","Wenn du Trophäen während einer Unterbrechung verloren hast, dann wurdest du entweder angegriffen oder dein eigener Angriff wurde abgebrochen und du hast verloren. Aufgrund des Punktesystems in Clash of Clans können wir unter keinen Umständen Trophäen zurückgeben. Trophäen, die du verlierst, werden an einen anderen Spieler weitergegeben und wir können dir keine neuen Trophäen geben, ohne die Rangfolge aus dem Gleichgewicht zu bringen.\n\nUm den Verlust von Trophäen durch Netzwerkprobleme zu vermeiden, empfehlen wir dir, andere Spieler nur anzugreifen, wenn du eine stabile Verbindung zur Verfügung hast (am Besten WiFi).","Si has perdido trofeos debido a una desconexión, o has sido atacado, o tu propio ataque fue reducido y perdiste; debido al sistema de puntuación de Clash of Clans, no podemos devolverte los trofeos bajo ninguna circunstancia. Esto sucede porque cada trofeo que pierdes se transfiere a otro jugador y no podemos darte nuevos trofeos sin desequilibrar el sistema.\n\nPara evitar pérdidas de trofeos debido a problemas de red, te recomendamos que solo ataques a otros jugadores cuando tengas una conexión estable (preferiblemente WiFi).","Se hai perso dei trofei a causa di una disconnessione, eri sotto attacco o il tuo attacco è stato respinto e hai perso. A causa del sistema di punteggio usato in Clash of Clans, non possiamo restituire i trofei in nessuna circostanza. Questo perché ogni trofeo che perdi è effettivamente trasferito ad un altro giocatore, e non siamo in grado di dare nuovi trofei senza squilibrare il sistema di classificazione.\n\nPer evitare la perdita di trofei a causa di problemi di rete, ti consigliamo di attaccare gli altri giocatori solo quando hai una connessione stabile (preferibilmente WiFi).","Als je je trofeeën kwijt bent geraakt, door een wegvallende verbinding, dan werd je aangevallen, of is je eigen aanval afgebroken en moest je terugtrekken waardoor je verloor. Vanwege het scoresysteem dat in clash of Clans wordt gebruikt, kunnen we onder geen beding je trofeeën teruggeven. Dit komt doordat elke trofee die je kwijtraakt eigenlijk wordt overgedragen aan een andere speler, waardoor we je geen nieuwe trofeeën kunnen geven zonder dat we het scoresysteem verstoren.\n\nOm te voorkomen dat je trofeeën verliest wegens netwerkproblemen, raden we aan dat je alleen andere spelers aanvalt wanneer je een stabiele verbinding hebt (bij voorkeur WiFi).","Vist du har mistet dine troféer på grunn av frakobling så har du enten blitt angrepet eller ditt angrep ble beseiret. På grunn av poengsystemet i Clash of Clans kan vi ikke gi tilbake dine troféer under noen omstendigheter. Dette er fordi at troféer overføres til en annen spiller når du taper, og vi kan ikke gi ut nye troféer uten å påvirke rangeringssystemet.\n\nFor å forhindre tap av troféer under frakobling anbefaler vi å kun angripe når koblingen er stabil (helst med WiFi).","Se você perdeu troféus devido à desconexão, você ou foi atacado ou seu próprio ataque falhou e você perdeu. Devido ao sistema de pontuação utilizado em Clash of Clans, não podemos devolver troféus sob nenhuma circunstância. Isso é porque cada troféu que você perde é transferido a outro jogador, e não podemos lhe dar novos troféus sem desequilibrar o sistema de ranking.\n\nPara evitar perder troféus devido a problemas de rede, recomendamos que ataque outros jogadores somente quando tiver uma conexão estável (preferencialmente WiFi).","Bağlantı sorunu sebebi ile kupa kaybederseniz, saldırıya uğramış ya da saldırınız yarıda kalmış ve kaybetmişsinizdir. Clash of Clans'ın puanlama sistemi sebebi ile, kupalarınızı hiçbir bir şekilde size geri veremeyiz. Çünkü kaybettiğiniz kupa başka bir oyuncuya transfer edilmiştir. Sıralama sisteminin dengesini bozmadan size yeni kupa vermemize imkan yoktur.\n\nBağlantı sorunları sebebi ile kupa kaybının önüne geçmek için, diğer oyunculara istikrarlı bir bağlantınız olduğunda saldırmanızı tavsiye ederiz (tercihen WiFi).",接続の切断でトロフィーが減ってしまったということは、自分の村が攻撃されたか、自分がしかけた攻撃が途中で切れてしまって敗北したことを意味します。クラッシュ・オブ・クランのスコア計算の仕組みでは、どんな理由があってもトロフィーをもどすことはできません。自分が失ったトロフィーは別のプレイヤーの手元に移されているため、トロフィーをもどすとランキングシステムのバランスに問題が発生してしまうからです。\n\nネットワークの問題でトロフィーが減ったりしないようにするには、他のプレイヤーを攻撃するのは（WiFi 接続時など、）接続が安定している時にしましょう。,在您攻击其他玩家时，如果网络连接断开，您的实时数据将无法上传到服务器。因此，即使您能在苹果设备上看到胜利的结果和成堆的战利品，这些战果可能不会传输到服务器，对此带来的不便我们深表歉意。部落战争（Clash of Clans）的奖杯系统在任何情况下都不能因此返还您的奖杯和资源，这是因为每个失去的奖杯都进入到另一个玩家的账户，而且我们不能给您颁发新的奖杯，否则会扰乱排名系统。\n\n为避免由于失去网络连接而丢掉奖杯，我们建议您在网络状况稳定时（最好是WiFi）再攻击其他玩家。
TID_FAQ_TITLE_TROPHIES,How does the trophy system work?,Comment fonctionne le système de trophées ?,Wie funktioniert das Trophäen-System?,¿Cómo funciona el sistema de trofeos?,Come funziona il sistema dei trofei?,Hoe werkt het trofeesysteem?,Hvordan virker trofésystemet?,Como funciona o sistema de troféus?,Ödül sistemi nasıl çalışıyor?,トロフィーはどんな仕組みですか？,奖杯是如何计算的？
TID_FAQ_TEXT_TROPHIES,"When fighting against other players, you will gain or lose trophies depending on the outcome of the battle. You can also lose or gain points when you're attacked, depending on if your defenders win the battle.\n\nThe exact number of points you can gain or lose is calculated based on how likely you are to win the match based both of your and your enemy's trophy points. Winning against the odds will give you more points than winning an easy opponent.","En affrontant d´autres joueurs, vous allez gagner ou perdre des trophées en fonction du résultat du combat. Vous pouvez aussi gagner ou perdre des points lorsque vous subissez une attaque, selon que vos défenseurs réussissent ou non à la repousser.\n\nLe nombre exact de points gagnés ou perdus est calculé à partir de vos chances de victoire, probabilité elle-même basée sur la différence entre le total de points de trophée de votre opposant et le vôtre. Vous remporterez donc plus de points en gagnant contre toute attente qu´en venant à bout d´un adversaire facile.","Beim Kampf gegen andere Spieler erhältst oder verlierst du Trophäen, je nach Kampfausgang. Wenn du angegriffen wirst, kannst du auch Punkte verlieren oder gewinnen, abhängig davon, ob deine Verteidiger den Kampf gewinnen.\n\nDie genaue Punktzahl, die du gewinnst oder verlierst, basiert auf der Wahrscheinlichkeit, mit der du den Kampf gewinnen wirst, je nach Trophäenpunkten von dir und deinem Gegner. Wenn du entgegen der Wahrscheinlichkeit gewinnst, erhältst du mehr Punkte als gegen einen leichten Gegner.","Cuando luches contra otros jugadores, ganarás o perderás trofeos según el resultado de la batalla. También puedes ganar o perder puntos cuando te ataquen, dependiendo de si tus defensores ganan la batalla.\n\nEl número exacto de puntos que ganes o pierdas se calcula en base a tu probabilidad de ganar el combate, que se basa en los puntos de trofeos de tu enemigo y los tuyos. Si ganas contra todo pronóstico obtendrás más puntos que si derrotas a un oponente fácil.","Mentre combatti contro altri giocatori, puoi vincere o perdere dei trofei a seconda del risultato della battaglia. Puoi anche vincere o perdere punti quando vieni attaccato, in base alla vittoria o meno dei tuoi difensori.\n\nL'esatto numero di punti che puoi ottenere o perdere è calcolato in base alle tue probabilità di vincere la battaglia, considerando anche i tuoi punti trofeo e quelli del nemico. Avere delle buone carte ti darà più punti di una vittoria su un avversario facile.","Als je tegen andere spelers vecht, verdien of verlies je trofeeën afhankelijk van de uitkomst van de strijd. Je kunt ook punten verliezen of verdienen wanneer je wordt aangevallen, afhankelijk van of je verdedigers het gevecht winnen.\n\nDe exacte hoeveelheid punten die je kunt verdienen of verliezen is gebaseerd op de waarschijnlijkheid dat je de strijd wint, afhankelijk van de trofeepunten van jou en je vijand. Als je tegen alle waarschijnlijkheid in wint, verdien je meer punten dan wanneer je van een eenvoudige tegenstander wint.","Når du kjemper mot andre spillere, kan du vinne eller tape troféer avhengig av slagets utfall. Du kan også tape eller vinne poeng når du blir angrepet, avhengig av om forsvarerne dine vinner slaget.\n\nDet nøyaktige antallet poeng du kan vinne eller tape er beregnet ut fra sannsynligheten for at du vinner kampen basert på dine og fiendens trofépoeng. Hvis du vinner mot alle odds, får du flere poeng enn om du vinner mot en svak motstander.","Ao lutar contra outros jogadores, você vai ganhar ou perder troféus, dependendo do resultado da batalha. Você também pode perder ou ganhar pontos quando for atacado, dependendo do final da batalha.\n\nO número exato de troféus que você pode ganhar ou perder é calculado com base na probabilidade de você ganhar a partida, baseado na sua quantidade de troféus e na do seu inimigo. Vencer contra todas as probabilidades lhe dará mais troféus do que vencer um adversário fácil.","Diğer oyunculara karşı savaşırken savaşın sonucuna bağlı olarak ödül kazanır veya kaybedersin. Ayrıca saldırıya uğradığında da savunma birliklerinin savaşı kazanıp kazanmadığına bağlı olarak puan kazanır veya kaybedersin.\n\nKazanabileceğin veya kaybedebileceğin puan miktarı, senin ve düşmanının ödül puanına dayalı olarak karşılaşmayı kazanma ihtimaline göre hesaplanır. Dezavantajlı durumdayken kazanman, kolayca yenebileceğin bir düşmana karşı kazandığından daha fazla puan sağlar.",他のプレイヤーとの対戦の結果により、トロフィーをもらったり奪われたりします。村が他のプレイヤーに攻撃された場合も、防衛戦に勝てたかどうかによってポイントが上がったり下がったりします。\n\nポイントがどれだけ変化するかは、自分と対戦相手のトロフィー数を比較して算出した、自分が勝てる可能性の大小に影響されます。自分よりも強い相手に勝ったほうが、弱い相手に勝つよりもトロフィーが多くもらえます。,根据您和对手的奖杯数，游戏将判断您得胜的几率。从而决定最大可赢取的奖杯数。无论是进攻还是防守，您都有可能赢得或者失去奖杯。进攻时，赢得一星战果就可以获得最大可赢取奖杯数的三分之一。
TID_FAQ_TITLE_MATCHMAKING,How does ''Find a match'' work?,Comment fonctionne le système \qChercher une partie\q ?,Wie funktioniert \qMitspieler finden\q?,¿Cómo funciona ''Buscar partida''?,Come funziona il sistema \qTrova una partita\q?,Hoe werkt 'Zoek een wedstrijd'?,Hvordan virker «Finn en match»?,Como funciona o \qProcurar uma Batalha\q?,Eşleşme bul\q düğmesi nasıl çalışıyor?,「対戦相手を探す」 はどんな仕組みですか？,进攻对象是如何决定的呢?
